endpoint,lookup,fields
guid-resources,id,"guid,uri,resourceType,id"
holiday-dates,id,"name,region,holidayDate,recurrent,id,uri,resourceType"
holiday-date-to-classes,id,"class,date,recurrent,id,uri,resourceType"
holiday-groups,id,"region,name,summary,isDefault,id,uri,resourceType"
holiday-recurrents,id,"label,region,code,id,uri,resourceType"
invoice-lines,id,"quantity,unitPrice,lineSubTotal,relationGuid,serviceLocation,serviceDateTime,taxClass,taxable,taxTotal,billableItems,invoice,id,uri,resourceType"
invoice-line-taxes,id,"amount,taxClassItem,invoiceLine,id,uri,resourceType"
invoices,id,"client,status,documentNumber,invoiceDate,dueDate,servicePeriodStartDate,servicePeriodEndDate,taxClass,contract,subTotal,taxTotal,total,lines,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
lone-worker-check-in-logs,id,"createdOn,checkInMethod,number,user,call,position,loneWorkerCheckIn,id,uri,resourceType"
lone-worker-check-ins,id,"createdOn,status,shift,loneWorkerCheckInLog,id,uri,resourceType"
lone-worker-check-in-tickets,id,"shift,employee,status,comments,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
lone-worker-phone-calls,id,"fromNumber,toNumber,createdOn,user,account,id,uri,resourceType"
lone-worker-phones,id,"description,phone,account,id,uri,resourceType"
lone-worker-schedule-check-ins,id,"weekDay,startTime,account,position,id,uri,resourceType"
lone-worker-time-keeping-settings,id,"account,checkInEnabled,restrictPhoneNumber,lateAfterMinutes,automaticCheckInCall,loneWorkerPhones,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
master-service-types,id,"name,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
me,id,"firstName,lastName,jobTitle,customId,region,primaryPhone,secondaryPhone,name,password,status,employmentProfile,gender,age,birthday,ageGroup,emergencyContacts,skills,notes,availabilities,accountAssignments,accountBans,email,address,username,tags,notificationSettings,id,uri,resourceType,avatar,createdBy,createdOn,updatedBy,updatedOn"
message-board-post-acknowledgements,id,"status,acknowledgedOn,employee,message,id,uri,resourceType"
message-board-post-categories,id,"details,description,tag,messages,id,uri,resourceType"
message-board-post-recipients,id,"tag,messageBoardPost,uri,resourceType,id"
message-board-posts,id,"content,status,expireOn,account,category,recipients,messageBoardPostAcknowledgement,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
mobile-devices,id,"applicationId,name,number,account,position,user,lastLatitude,lastLongitude,startedOn,status,applicationVersion,deviceModel,deviceOS,deviceIMEI,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
mobile-runsheet-occurrences,id,"name,customId,dayOfWeek,rangeStartDateTime,rangeEndDateTime,occurrenceDate,zonePosition,zone,session,uri,resourceType,id"
mobile-runsheets,id,"name,customId,dayOfWeek,rangeStartTime,rangeEndTime,zonePosition,zone,uri,resourceType,id"
mobile-runsheet-sessions,id,"status,actionDate,periodDate,startedOn,endedOn,employee,mobileRunsheet,workSession,mobileScheduleOccurrenceLogs,uri,resourceType,id,createdBy,createdOn,updatedBy,updatedOn"
